Transaction Number,Date,Description,Memo,Amount Debit,Amount Credit,Balance,Check Number,Fees
"20230912000000[-6:CST]*2.05*501**Interest paid",09/12/2023,"Interest paid","",,2.05,"25279.23",,0.00
"20230912000000[-6:CST]*-7.78*0**XX3498 POS WITHDRAWAL. SHELL SERVICE S B URLINGAME CA 86200201 231709",09/12/2023,"XX3498 POS WITHDRAWAL. SHELL SERVICE S B URLINGAME CA 86200201 231709","",-7.78,,"25277.18",,0.00
"20230912000000[-6:CST]*-4.25*0**XX3498 POS PURCHASE AT PARKING METER - S ANTA ROSA CA 88701134 966518",09/12/2023,"XX3498 POS PURCHASE AT PARKING METER - S ANTA ROSA CA 88701134 966518","",-4.25,,"25284.96",,0.00
"20230911000000[-6:CST]*-38.52*0**XX3498 POS WITHDRAWAL. WHOLEFDS 20955 CU PERTINO CA 22308002 113875",09/11/2023,"XX3498 POS WITHDRAWAL. WHOLEFDS 20955 CU PERTINO CA 22308002 113875","",-38.52,,"25289.21",,0.00
"20230911000000[-6:CST]*-19.22*0**XX3498 POS WITHDRAWAL. COMMON SAGE SAN F RANCISCO CA 7875CL01 325371000698",09/11/2023,"XX3498 POS WITHDRAWAL. COMMON SAGE SAN F RANCISCO CA 7875CL01 325371000698","",-19.22,,"25327.73",,0.00
"20230911000000[-6:CST]*-7.87*0**XX3498 POS WITHDRAWAL. VALERO 116 SEBAST OPOL CA 85770701 940680",09/11/2023,"XX3498 POS WITHDRAWAL. VALERO 116 SEBAST OPOL CA 85770701 940680","",-7.87,,"25346.95",,0.00
"20230911000000[-6:CST]*-4.70*0**XX3498 POS PURCHASE AT ISU DESIGN CAFE A MES IA 75726922 662037",09/11/2023,"XX3498 POS PURCHASE AT ISU DESIGN CAFE A MES IA 75726922 662037","",-4.70,,"25354.82",,0.00
"20230908000000[-6:CST]*-24.97*0**XX3498 POS PURCHASE AT KWIK STOP LIQUOR AMES IA 13300906 868504",09/08/2023,"XX3498 POS PURCHASE AT KWIK STOP LIQUOR AMES IA 13300906 868504","",-24.97,,"25359.52",,0.00
"20230908000000[-6:CST]*108.00*501**IOWA STATE UNIVE PAYMENT 498061243-I_DEG",09/08/2023,"IOWA STATE UNIVE PAYMENT 498061243-I_DEG","",,108.00,"25384.49",,0.00
"20230907000000[-6:CST]*-12.00*0**XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 053354",09/07/2023,"XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 053354","",-12.00,,"25276.49",,0.00
"20230906000000[-6:CST]*-1957.92*0**CHASE CREDIT CRD AUTOPAY 000000000177463",09/06/2023,"CHASE CREDIT CRD AUTOPAY 000000000177463","",-1957.92,,"25288.49",,0.00
"20230905000000[-6:CST]*-712.75*0**IBMC ACH PMTS XXXXXX2430",09/05/2023,"IBMC ACH PMTS XXXXXX2430","",-712.75,,"27246.41",,0.00
"20230905000000[-6:CST]*-55.00*0**XX3498 POS PURCHASE AT SQ *LONDON UNDER Ames IA 28183776 413927",09/05/2023,"XX3498 POS PURCHASE AT SQ *LONDON UNDER Ames IA 28183776 413927","",-55.00,,"27959.16",,0.00
"20230905000000[-6:CST]*-33.42*0**XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 040547",09/05/2023,"XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 040547","",-33.42,,"28014.16",,0.00
"20230905000000[-6:CST]*-23.00*0**XX3498 POS PURCHASE AT GOODWILL AMES AME S IA 99700094 409053",09/05/2023,"XX3498 POS PURCHASE AT GOODWILL AMES AME S IA 99700094 409053","",-23.00,,"28047.58",,0.00
"20230905000000[-6:CST]*-20.00*0**XX3498 POS PURCHASE AT SQ *ACPS Ames IA 38030178 311137",09/05/2023,"XX3498 POS PURCHASE AT SQ *ACPS Ames IA 38030178 311137","",-20.00,,"28070.58",,0.00
"20230905000000[-6:CST]*-4.38*0**XX3498 POS WITHDRAWAL. CASEYS STORE 43 A MES IA 600001 053374",09/05/2023,"XX3498 POS WITHDRAWAL. CASEYS STORE 43 A MES IA 600001 053374","",-4.38,,"28090.58",,0.00
"20230901000000[-6:CST]*-36.28*0**XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490050 324449910941",09/01/2023,"XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490050 324449910941","",-36.28,,"28094.96",,0.00
"20230901000000[-6:CST]*-9.49*0**XX3498 POS PURCHASE AT SQ *DAYTIME Ames IA 46866393 560102",09/01/2023,"XX3498 POS PURCHASE AT SQ *DAYTIME Ames IA 46866393 560102","",-9.49,,"28131.24",,0.00
