,Transaction Number,Date,Description,Memo,Amount Debit,Amount Credit,Balance,Check Number,Fees,Category
0,20230912000000[-6:CST]*2.05*501**Interest paid,09/12/2023,Interest paid,,,2.05,25279.23,,0.0,Deposit
1,20230912000000[-6:CST]*-7.78*0**XX3498 POS WITHDRAWAL. SHELL SERVICE S B URLINGAME CA 86200201 231709,09/12/2023,XX3498 POS WITHDRAWAL. SHELL SERVICE S B URLINGAME CA 86200201 231709,,-7.78,,25277.18,,0.0,Travel
2,20230912000000[-6:CST]*-4.25*0**XX3498 POS PURCHASE AT PARKING METER - S ANTA ROSA CA 88701134 966518,09/12/2023,XX3498 POS PURCHASE AT PARKING METER - S ANTA ROSA CA 88701134 966518,,-4.25,,25284.96,,0.0,Travel
3,20230911000000[-6:CST]*-38.52*0**XX3498 POS WITHDRAWAL. WHOLEFDS 20955 CU PERTINO CA 22308002 113875,09/11/2023,XX3498 POS WITHDRAWAL. WHOLEFDS 20955 CU PERTINO CA 22308002 113875,,-38.52,,25289.21,,0.0,Travel
4,20230911000000[-6:CST]*-19.22*0**XX3498 POS WITHDRAWAL. COMMON SAGE SAN F RANCISCO CA 7875CL01 325371000698,09/11/2023,XX3498 POS WITHDRAWAL. COMMON SAGE SAN F RANCISCO CA 7875CL01 325371000698,,-19.22,,25327.73,,0.0,Travel
5,20230911000000[-6:CST]*-7.87*0**XX3498 POS WITHDRAWAL. VALERO 116 SEBAST OPOL CA 85770701 940680,09/11/2023,XX3498 POS WITHDRAWAL. VALERO 116 SEBAST OPOL CA 85770701 940680,,-7.87,,25346.95,,0.0,Travel
6,20230911000000[-6:CST]*-4.70*0**XX3498 POS PURCHASE AT ISU DESIGN CAFE A MES IA 75726922 662037,09/11/2023,XX3498 POS PURCHASE AT ISU DESIGN CAFE A MES IA 75726922 662037,,-4.7,,25354.82,,0.0,Food & Drink
7,20230908000000[-6:CST]*-24.97*0**XX3498 POS PURCHASE AT KWIK STOP LIQUOR AMES IA 13300906 868504,09/08/2023,XX3498 POS PURCHASE AT KWIK STOP LIQUOR AMES IA 13300906 868504,,-24.97,,25359.52,,0.0,Food & Drink
8,20230908000000[-6:CST]*108.00*501**IOWA STATE UNIVE PAYMENT 498061243-I_DEG,09/08/2023,IOWA STATE UNIVE PAYMENT 498061243-I_DEG,,,108.0,25384.49,,0.0,Deposit
9,20230907000000[-6:CST]*-12.00*0**XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 053354,09/07/2023,XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 053354,,-12.0,,25276.49,,0.0,Groceries
10,20230906000000[-6:CST]*-1957.92*0**CHASE CREDIT CRD AUTOPAY 000000000177463,09/06/2023,CHASE CREDIT CRD AUTOPAY 000000000177463,,-1957.92,,25288.49,,0.0,Bills & Utilities
